index	id	title	chapter	family	subfamily	description_blocks	description_chars	description
0	bestiaire-v15-civil-ordinaire	Civil ordinaire	1.1 PNJ Réalité	Rue, civils et bandes		1	286	Le profil ne décrit pas une personne incapable, seulement quelqu'un qui n'est pas préparé à un affrontement. Employé, voisin, passant ou témoin peut posséder un métier exigeant et des savoirs précis ; sous les tirs, sa priorité devient pourtant de rester vivant et de sortir de la zone.
1	bestiaire-v15-vigile-videur	Vigile / videur	1.1 PNJ Réalité	Rue, civils et bandes		1	316	Vigiles et videurs constituent le premier niveau de sécurité visible de la Grande Californie. Ils savent gérer une altercation, contenir un individu et utiliser une arme si leur poste l'autorise, mais leur rôle reste de protéger un lieu, filtrer un accès et éviter qu'un incident ordinaire ne devienne une fusillade.
2	bestiaire-v15-ganger-arme	Ganger armé	1.1 PNJ Réalité	Rue, civils et bandes		1	302	Les gangs vont de bandes de quartier opportunistes à de petites organisations territoriales très structurées. Ce profil représente un membre habitué aux armes, aux poursuites courtes et aux combats de rue : il n'est pas un soldat, mais il connaît son quartier, ses alliés et la valeur d'un bon couvert.
3	bestiaire-v15-chef-de-bande	Chef de bande	1.1 PNJ Réalité	Rue, civils et bandes		1	285	Un chef de bande tient moins par un uniforme que par sa capacité à faire agir les autres ensemble. Il connaît les dettes, les territoires et les rivalités, sait quand pousser ses gens ou décrocher, et possède généralement un meilleur équipement que les membres ordinaires qu'il dirige.
4	bestiaire-v15-secouriste-flashmergencies	Secouriste Flashmergencies	1.1 PNJ Réalité	Rue, civils et bandes		1	309	Les Flashmergencies constituent la réponse d'urgence publique : accidents, blessures, crises médicales et premières extractions. Ce profil représente un secouriste de terrain formé à travailler dans une rue encore dangereuse, mais qui n'est ni policier ni soldat. Sa priorité reste de stabiliser et d'évacuer.
5	bestiaire-v15-pompier-technicien-d-intervention	Pompier / technicien d’intervention	1.1 PNJ Réalité	Rue, civils et bandes		1	293	Incendies industriels, batteries, réseaux haute tension et bâtiments augmentés ont rendu les équipes techniques d'intervention indispensables. Leur équipement protège surtout contre les dangers de site ; un pompier expérimenté peut entrer là où un civil ordinaire serait immédiatement dépassé.
6	bestiaire-v15-soldato	Soldato	1.1 PNJ Réalité	Pègre		1	307	Le Soldato est un professionnel de la violence mafieuse : protection, intimidation, escorte, guerre de territoire et représailles. Il ne se bat pas pour prouver quelque chose à chaque coin de rue ; il agit au nom d'une structure et sait que chaque coup de feu peut entraîner une réponse beaucoup plus large.
7	bestiaire-v15-tueur-a-gages	Tueur à gages	1.1 PNJ Réalité	Pègre		1	287	Le tueur à gages travaille sur la préparation, le renseignement et l'angle d'attaque plutôt que sur un duel équitable. Il observe les habitudes de sa cible, aménage une sortie et cherche une première attaque décisive. Une fois repéré et fixé, son principal avantage disparaît rapidement.
8	bestiaire-v15-hacker-criminel	Hacker criminel	1.1 PNJ Réalité	Pègre		1	337	Les hackers de la Pègre volent des identités, ouvrent des accès, effacent des traces et transforment les infrastructures connectées en armes indirectes. Ils sont rarement impressionnants dans un échange de tirs, mais une porte verrouillée, un implant exposé ou une caméra compromise suffit à leur donner une place centrale dans la scène.
9	bestiaire-v15-charcudoc	CharcuDoc	1.1 PNJ Réalité	Pègre		1	317	Le CharcuDoc est le médecin clandestin des milieux où l'on évite les hôpitaux : blessures par balle, augmentations non déclarées, chirurgie de fortune et trafic biomédical. Certains sont cyniques, d'autres profondément utiles à leur quartier ; tous travaillent avec des patients qui n'ont souvent aucune autre option.
10	bestiaire-v15-sicario-de-cartel	Sicario de cartel	1.1 PNJ Réalité	Pègre		1	331	Les grands cartels de la frontière emploient des combattants qui ne ressemblent plus à des bandes improvisées. Le sicario professionnel sait escorter un convoi, fermer une rue, suivre une cible et décrocher avant l'arrivée d'une force publique. Son efficacité vient autant de la mobilité et du renseignement local que de son fusil.
11	bestiaire-v15-enforcer-de-la-vladivostokskaia-bratva	Enforcer de la Vladivostokskaïa / Bratva	1.1 PNJ Réalité	Pègre		1	300	Les réseaux russes et est-européens de la Vladivostokskaïa combinent finance, protection et violence transnationale. L'enforcer est le spécialiste que l'on place près d'un cadre, d'un lieu sensible ou d'une négociation où l'organisation veut rappeler qu'elle peut faire suivre les mots par des actes.
12	bestiaire-v15-soldat-des-vingt-deux-dragons	Soldat des Vingt-deux Dragons	1.1 PNJ Réalité	Pègre		1	314	Les Vingt-deux Dragons s'appuient sur des réseaux commerciaux, communautaires et de contrebande reliés aux diasporas asiatiques. Leur soldat est moins démonstratif qu'un ganger : il protège les flux, les entrepôts et les personnes dont dépend l'organisation, avec une violence brève lorsqu'elle devient nécessaire.
13	bestiaire-v15-kobun-du-yamaguchi	Kobun du Yamaguchi	1.1 PNJ Réalité	Pègre		1	352	Le Yamaguchi conserve une culture de discipline et de hiérarchie tout en exploitant entreprises, jeux, protection et réseaux modernes. Le kobun du Bestiaire est un membre de terrain confirmé : suffisamment armé pour une opération violente, mais surtout habitué à exécuter une décision collective sans transformer chaque affront en vendetta personnelle.
14	bestiaire-v15-homme-de-main-oglaigh	Homme de main Oglaigh	1.1 PNJ Réalité	Pègre		1	294	Les Oglaigh s'appuient sur des réseaux communautaires, des trafics et une longue culture de violence ciblée. Leur homme de main connaît les garages, bars, logements et itinéraires de son secteur ; il frappe depuis une position préparée puis disparaît dans un environnement qui lui est familier.
15	bestiaire-v15-agent-de-securite-corporatif	Agent de sécurité corporatif	1.1 PNJ Réalité	Corporations		1	304	La sécurité corporative ordinaire protège des employés, des entrepôts, des laboratoires et des données qui valent parfois plus cher que les personnes présentes. L'agent connaît son site, ses procédures et ses issues, et bénéficie surtout d'un terrain préparé, de capteurs et d'une chaîne de commandement.
16	bestiaire-v15-armacorpo-d-intervention	ArmaCorpo d’intervention	1.1 PNJ Réalité	Corporations		1	320	Les équipes ArmaCorpo interviennent lorsque la sécurité ordinaire n'est plus suffisante. Entraînement de combat, augmentations, capteurs et armement militaire en font des adversaires humains capables de soutenir un échange violent avec des Crawlers aguerris ou des menaces de Vérité sans avoir besoin d'être surnaturels.
17	bestiaire-v15-cybercorpo-de-securite	CyberCorpo de sécurité	1.1 PNJ Réalité	Corporations		1	299	Le CyberCorpo protège les réseaux, IA, implants et infrastructures Neural d'une organisation. Son champ de bataille est généralement le système qu'il administre : il coupe, isole, verrouille et contre-attaque, puis laisse les agents armés régler ce qui parvient malgré tout jusqu'à la salle serveur.
18	bestiaire-v15-ushkoll-defender-lourd-gallowglass-ii-croaker	Ushkoll Defender lourd — Gallowglass II / Croaker	1.1 PNJ Réalité	Corporations		1	391	Les Defenders d'Ushkoll sont la branche chargée des fonctions de police et de l'affrontement urbain. Sur un contrat à très haut risque, certains opérateurs portent une Raven Gallowglass II lourde et emploient le SG-039 « Croaker ». Ce n'est plus un agent de contrôle mais une porte blindée mobile destinée à reprendre un bâtiment, casser un verrou défensif ou tenir un carrefour sous le feu.
19	bestiaire-v15-ushkoll-lander-lourd	Ushkoll Lander lourd	1.1 PNJ Réalité	Corporations		1	264	Les Landers constituent la branche terrestre d'Ushkoll, équivalent corporatif d'une armée de terre. Les détachements lourds emploient du matériel militaire complet lorsqu'un contrat exige de tenir un axe, briser une position ou affronter une autre force organisée.
20	bestiaire-v15-ushkoll-cyber	Ushkoll Cyber	1.1 PNJ Réalité	Corporations		1	299	Les Cybers d'Ushkoll ne se limitent pas à surveiller des pare-feu : leur branche couvre cyberdéfense, sabotage et espionnage. Sur le terrain, ils sécurisent les communications, infiltrent les systèmes adverses et donnent à une équipe armée l'accès aux portes, capteurs et données dont elle a besoin.
21	bestiaire-v15-careforce-operateur-d-extraction	CareForce — opérateur d’extraction	1.1 PNJ Réalité	Corporations		1	330	La CareForce de NorthStar intervient quand un client doit être récupéré d'un lieu réellement dangereux. Beaucoup de ses opérateurs sont d'anciens mercenaires : ils savent repousser des assaillants, ouvrir une voie et évacuer une cible sous le feu, mais leur mission reste le sauvetage du contrat plutôt que la conquête du terrain.
22	bestiaire-v15-careforce-counter-death	CareForce — Counter-Death	1.1 PNJ Réalité	Corporations		1	357	La branche Counter-Death de NorthStar est tournée vers les cas où chaque seconde compte : trauma massif, arrêt vital, exposition extrême ou extraction médicale au bord de l'échec. Ses spécialistes sont moins offensifs que les opérateurs d'extraction mais beaucoup plus dangereux pour un scénario parce qu'ils peuvent empêcher une cible importante de mourir.
23	bestiaire-v15-ushkoll-seayer-d-abordage	Ushkoll Seayer d’abordage	1.1 PNJ Réalité	Corporations		1	291	Les Seayers constituent la branche navale d'Ushkoll. Le spécialiste d'abordage intervient sur navires, plateformes, docks et structures littorales où les lignes de tir sont courtes, le sol instable et la chute à l'eau toujours possible. Il combine discipline militaire et équipement compact.
24	bestiaire-v15-ushkoll-skyer-d-assaut	Ushkoll Skyer d’assaut	1.1 PNJ Réalité	Corporations		1	243	Les Skyers assurent la composante aérienne d'Ushkoll. Ce profil représente l'infanterie qui descend d'un appareil, sécurise une zone d'atterrissage et ouvre un corridor pour l'extraction ou le débarquement, pas le pilote restant aux commandes.
25	bestiaire-v15-garde-du-corps-corporatif-vip	Garde du corps corporatif VIP	1.1 PNJ Réalité	Corporations		1	299	Les cadres majeurs, héritiers et négociateurs sensibles emploient des spécialistes dont le travail n'est pas de gagner une bataille mais de faire survivre une personne. Le garde du corps lit les trajectoires, surveille les sorties et accepte de céder le terrain si cela permet d'extraire son client.
26	bestiaire-v15-equipe-de-confinement-biocorpo	Équipe de confinement Biocorpo	1.1 PNJ Réalité	Corporations		1	290	Une fuite biologique, un sujet augmenté instable ou un laboratoire contaminé demande autre chose qu'un vigile. Les grandes Biocorpos disposent d'équipes mêlant sécurité, médecine et procédure de confinement, équipées pour isoler un risque avant de comprendre entièrement ce qui s'est passé.
