dataset	id	title	snippet
verite	verite-049-13-mages	13. Mages	Les Mageius sont plus anciens que les traditions qui les étudient. Lorsque la Terre baignait davantage dans la Magie, certains agrégats finirent par acquérir une forme de conscience et s’incarnèrent dans des êtres vivants. Sur de très longues périodes, certaines lignées devinrent particulièrement compatibles avec eux et donnèrent naissance aux Voyageurs : Dives, Gorgones, Amazones, Kochtchei, Babayaga et autres êtres dont les mythologies ont conservé des souvenirs déformés.
bestiaire	bestiaire-v15-cyclope-egam	Cyclope / Egam	Les dossiers emploient Cyclope ou Egam pour certaines Ruptures de Dive et de porteurs de Mageius. La Famine ne se contente plus de ronger le corps : elle décompose la relation au Mageius et transforme la perception magique en organe de prédation. L’Egam cherche d’abord les structures actives de Vérité, les sorts et les pouvoirs qu’il peut comprendre assez pour les consommer.
lore	lore-plagues-delanial	Delanial	Les savoirs qu’il enseigna furent utilisés bien plus tard pour les combattre.Les Dives créèrent un culte au « Démiurge Obscur », le « Père de l’Ombre » et nombreux furent les autres ombres tels que les Deimons à l’adopter, refusant de vénérer les Dieux Anciens.
lore	lore-aseryn-continents-continent-hyperboree	Le continent de Hyperboree	Hyperborée est le dernier continent où vivent les aseryns en dehors de ceux « humains ». Initialement, quand les premiers colons aseryns arrivèrent, hyperborée étaient une terre qui appartenaient aux dives et aux amazones. Vaincus par les dieux, les descendants d’Ymir pansaient leurs plaies et Angrboda, la « reine du nord », régnait sur cette contrée avec ses amazones. Alors que les Aseryns essayèrent de s’implanter, les Amazones les décimèrent encore et encore, la couronne Atlante renonçant à prendre cette terre malgré ses gisements de Stroethil. Toutefois, un membre de la famille Selerias, Nalykai, outrepassa les ordres et prit trois navires. Il s’arrêta dans des sanctuaires des nymphes et se prosterna devant
lore	lore-aseryn-continents-continent-hyperboree	Le continent de Hyperboree	des d’amazones de l’Hyperborée d’Angrboda. En quelques semaines, ils ne furent que plus que 12, ne pouvant ni rentrer à l’Atlantide ni échouer, leur âme appartenant à Belial désormais. Ils tentèrent un tout pour le tout, attaquant le palais d’Angrbroda, mais Grendel, son fils, les massacra sur le pont du château. Il jeta Nalykai dans le gouffre gelé, où les dives d’hyperborée avaient scellé un fils de Vhodhal et de sharith, Akryth, le dévoreur de chaleur, le pire ennemi de Belial. Nalykai rampa jusqu’au fléau, utilisant les dons de Belial pour le libérer de la prison que la déesse avait réussi à créer pour lui : un soleil miniature infini dans son crane qu’il dévorait. Akryth ravagea Hyperborée, forçant une part des Amazones et Angrboda à fuir vers la Scandinavie actuelle, toutefois, Moloch fut invoqué de force dans le processus et à son tour invoqua Kainor afin d’enf
lore	lore-aseryn-continents-continent-hyperboree	Le continent de Hyperboree	 sans l’aide de Belial elle-même. Nalykai retourna en Atlantide, brulé et gelé à la fois, absolument défiguré mais il rendit son dernier souffle en offrant Hyperborée à la couronne Athegos. C’est pour le récompenser à titre posthume que sa fille illégitime, Faedyn Depteros, fut anoblie pour être chargée d’administrer la colonie pouvant enfin s’installer, ni dive ni amazone, plus personne n’y étant. Sur place, Faedyn fut contrainte par les dieux mineurs de Belial à payer le prix de la trahison de son père, en effet, il n’avait pas rempli son serment et avait libéré un Fléau avec les pouvoirs prêtés. Elle paya la dette en vénérant les dieux et la « Flamme royale » Les âges se succédèrent et l’unification s’acheva en Atlantide, le Temple ayant soutenu les Athegos, il devint la seule institution religieuse et quand le duché d’Hyperborée se montra assez farouche à sa conve
lore	lore-aseryn-continents-continent-hyperboree	Le continent de Hyperboree	our avoir un redoux et régulièrement, le fléau était donc combattu pour permettre l’agriculture sur une terre plus que fertile quand Akryth ne la gelait pas, désertique quand il était libre. Ainsi, régulièrement, Hildeveig et son peuple allaient sur le continent eurasien pour préparer l’offensive avec l’aide des Amazones et d’autres alliés comme Grendel, le dive et se réinstallaient une fois Akryth repoussé. Avec l’arrivée des survivants atlantes, se posèrent de graves soucis de famine, vaincre ponctuellement Akryth ne pouvait pas suffire, il fallait plus de terre ou plus encore affaiblir le Fléau. La reine néanmoins se refusa à abandonner les survivants de l’Atlantides. Hildeveig se lança donc dans un combat perdu d’avance, aidée par Grendel, elle défia Akryth pour le vaincre définitivement, portant des armes offertes par Moloch et le culte de Belial pour cela. Elle 
lore	lore-aseryn-continents-terres-aserynes	Les terres Aserynes	unifié le royaume et le conflit religieux restait secondaire, mais quand les mages royaux de Valyna Athegos découvrirent comment ouvrir des portails de téléportation, notamment sur d’autres mondes, d’abord sur d’autres plans terrestres « les 13 mondes » de la Terre puis créèrent un passage sur Aèr, la guerre changea de visage, des abominations, des nymphes, dives et autres voyageurs se firent de plus en plus nombreux comme ennemis des atlantes, comme libérés, assez vite, les atlantes se concentrèrent sur Aèr, où ils espéraient trouver des ressources pour lutter. Pour l’Atlantide, un nouvel âge de gloire débuta, pour Mu, ce fut la fin, Thul, le fléau, s’y abattant et ce fut la corruption des aseryns locaux, arrachant du ciel de lointains êtres céphalopodes (les rocréens) pour les asservir avant de profondément voir le continent engloutis par les dieux et les nymphes. V
lore	lore-aseryn-continents-terres-aserynes	Les terres Aserynes	que. En revanche, ils ont naturellement un don pour les pouvoirs psychiques (proches de ceux aliens ou de l’ordre Scytheri) Les « hyperboréens » ont une durée de vie réduite, des dons magiques ou de foudre sont aussi réduits, en revanche, ils ont un physique encore plus réactif et athlétique, ils sont plus puissants par un métissage avec les amazones et les dives. Ils sont livides de peau. Les « Lemurians », ont une durée de vie accrue, par leur métissage avec les nymphes, les dons magiques ou de foudre sont réduits, en revanche, ils ont des dons élémentaires avec l’air et l’eau. Leur peau est plus sombre. Il existerait de rares « Australisiens » ayant survécu au déferlement vampirique et à la purge de Belial, mais on ignore totalement s’ils sont dotés de talents différents. Généralement, les Muliens, hyperboréens et Lémurians sont plus intégrés aux sociétés humaines 
lore	lore-supernatural-species-mages	Mages	Avec les millions d’années, certaines espèces devinrent plus promptes à les recevoir, elles donnèrent les « Voyageurs », des créatures singulières telles que les géants « Dives », les « gorgones », les « Kochtchei et babayaga» , « croquemitaines » et « Amazones », des peuples mythologiques qui ne survécurent pas.
lore	lore-173-verite-les-chasseurs-07	Vérité les chasseurs — ?	Il fit face à une des plus anciennes espèces de la Terre, des « Dives », (aussi appelés titans, ogres, géants ou ashuras selon les cultures)
